,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnapping & Abduction,Kidnapping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Other Kidnapping,Dacoity,Dacoity with Murder,Other Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Criminal Trespass or Burglary,House Trespass & House Breaking,Theft,Auto Theft,Other Thefts,Unlawful Assembly,Riots,Riots_Communal,Riots_Industrial,Riots_Political,Riots_Caste Conflict,Riots_SC/STs Vs Non-SCs/STs,Riots_Other Caste Conflict,Riots_Agrarian,Riots_Students,Riots_Sectarian,Riots_Others,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Counterfeit Offences related to Counterfeit Coin,Counterfeiting Government Stamp,Counterfeit currency & Bank notes,Counterfeiting currency notes/Bank notes,Using forged or counterfeiting currency/Bank notes,Possession of forged or counterfeiting currency/Bank notes,Making or Possessing materials for forged currency/Bank notes,Making or Using documents resembling currency,Arson,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Assault or use of criminal force to women with intent to Disrobe,Voyeurism,Stalking,Other Assault on Women,Insult to the Modesty of Women,At Office premises,Other places related to work,In Public Transport system,"Places other than 231, 232 & 233",Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Deaths due to negligent driving/act,Deaths due to Other Causes,Offences against State,Sedition,Other offences against State,Offences promoting enmity between different groups,Promoting enmity between different groups,"Imputation, assertions prejudicial to national integration",Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total Cognizable IPC crimes
Counterfeiting Government Stamp,0.164972175,0.130310759,0.042099173,0.01703272,0.155060053,-0.004871081,-0.00518252,-0.004823322,0.156154385,0.015440045,0.166315523,0.059155199,0.143696256,0.040234782,-0.003066815,0.293452422,0.181918089,0.137999264,0.199824632,0.018756072,0.202563441,0.152508094,0.121024003,0.170348368,0.179697707,0.123007998,0.117306549,0.103003427,0.119657298,0.10884495,0.213756305,0.022531615,0.011171973,0.017185044,0.057739055,-0.009430031,0.074554006,0.109717856,0.01017597,-0.004813812,0.221646325,0.188000666,0.142125417,0.035397822,0.074401665,-0.003625721,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counterfeit currency & Bank notes,0.648296413,0.806682479,0.45807976,0.385079079,0.656856502,0.19104483,0.177079803,0.190060031,0.657291198,0.442800786,0.664548621,0.730217215,0.607280562,0.507936233,0.194905902,0.695246966,0.416110891,0.683808967,0.524341647,0.44094475,0.521863203,0.753230211,0.546749115,0.562303252,0.536140762,0.569157239,0.606198147,0.536104789,0.615717315,0.340333743,0.545760964,0.314591707,0.521336724,0.45473726,0.434482291,0.497212853,0.36058554,0.210053179,0.17655378,0.226384548,0.524280163,0.678164932,0.621479908,0.347412801,0.799606008,0.018672187,0.093450578,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counterfeiting currency notes/Bank notes,0.733889562,0.764708204,0.534941224,0.368128138,0.707186487,0.291564283,0.270610871,0.290049131,0.705950069,0.496479533,0.711780348,0.58547992,0.650772894,0.452901175,0.277065499,0.698802277,0.560896215,0.654854144,0.673363124,0.554336252,0.670474589,0.645117765,0.651781481,0.667400243,0.649999857,0.636482917,0.636768252,0.610294243,0.614319681,0.417239264,0.648210537,0.32596381,0.41010894,0.444717289,0.531312168,0.640195802,0.429597364,0.2985854,0.231128627,0.231086296,0.629001358,0.788264206,0.696215267,0.421204719,0.716716807,0.039047905,0.182234551,0.878967564,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Using forged or counterfeiting currency/Bank notes,0.499130156,0.727098316,0.347788051,0.242102874,0.496816817,0.111228002,0.102517055,0.110674337,0.497805882,0.324785835,0.50429626,0.735564414,0.444445492,0.351891451,0.124365575,0.576580964,0.271225213,0.597555744,0.348238102,0.316844048,0.34600007,0.715211715,0.325952575,0.356338406,0.33742815,0.367349168,0.40627246,0.347026473,0.421095162,0.247729694,0.401262723,0.264963496,0.521624791,0.373418346,0.305399788,0.342135135,0.256053088,0.126847572,0.078060675,0.185530476,0.382814498,0.505894626,0.465344046,0.240669212,0.732148674,0.004190299,0.02940353,0.925681929,0.682392557,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Possession of forged or counterfeiting currency/Bank notes,0.355935523,0.443605478,0.236472645,0.427860123,0.428435183,0.068387409,0.064953703,0.067981773,0.429834507,0.296053837,0.433970914,0.399826101,0.471195272,0.647608791,0.075532957,0.44459985,0.181302712,0.397225791,0.288444849,0.212271811,0.287828921,0.436299835,0.528030569,0.454900878,0.412814522,0.520291578,0.626144618,0.484846081,0.683387806,0.163494733,0.269179863,0.175594303,0.301577646,0.230963393,0.245668234,0.253467573,0.213645901,0.09097522,0.085337155,0.160322272,0.256439926,0.385213334,0.392553886,0.224502516,0.501669088,0.004453766,0.01891492,0.633076768,0.458454063,0.458351528,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Making or Possessing materials for forged currency/Bank notes,0.299157045,0.404449659,0.156703338,0.112038552,0.482293784,-0.005149459,-0.007743023,-0.005022139,0.485499069,0.297666383,0.493623411,0.395570551,0.370915273,0.324144879,0.026807477,0.329943489,0.206723755,0.503592314,0.144307253,0.09453267,0.144286934,0.425155489,0.116716561,0.281695194,0.282944441,0.244063216,0.228423328,0.225712706,0.21570077,0.066296081,0.163510337,0.107310229,0.376299147,0.186614961,0.18955929,0.085223504,0.203778911,0.043618975,0.023870628,0.019810631,0.151251213,0.219108966,0.161751065,0.065018626,0.270212426,-0.004196768,-0.00716578,0.346083323,0.238248852,0.341819436,0.190035832,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Making or Using documents resembling currency,0.098332196,0.120357431,0.074227631,0.51290309,0.169320494,-0.005421067,-0.006275904,-0.00535067,0.170517493,0.037714415,0.179653009,0.098329234,0.082295037,0.062127697,0.003008531,0.117337954,0.056517228,0.106490207,0.100112812,0.028454805,0.101014749,0.170234078,0.075931395,0.138407223,0.117570643,0.181277379,0.076739882,0.075432389,0.072738759,0.089786344,0.233128633,0.042472519,0.069966347,0.550200321,0.046276553,0.036013601,0.044383109,0.049812198,0.603221861,0.009322712,0.210845068,0.113715042,0.17879974,0.039002097,0.157138048,-0.001195174,0.017591646,0.200229633,0.212004045,0.105450978,0.080799318,0.07678178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arson,0.778811492,0.724628745,0.357095961,0.344397135,0.841295452,0.092189849,0.13572523,0.09000875,0.844878736,0.500796345,0.860634715,0.413724802,0.694759921,0.520973768,0.274099781,0.623938335,0.578238265,0.684264239,0.774708952,0.490170646,0.77502733,0.509086134,0.697707623,0.866340408,0.868893793,0.754291181,0.6923586,0.661396525,0.669448201,0.459934841,0.711058804,0.326600673,0.280168978,0.400312087,0.657140863,0.602914518,0.597972208,0.405440061,0.266554714,0.241901071,0.69274886,0.658304461,0.713916011,0.476702118,0.648299674,0.160910551,0.252627646,0.69902129,0.788115291,0.528252622,0.396514163,0.372449664,0.188163277,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grievous Hurt,0.821151925,0.879601123,0.580925174,0.385518835,0.760871804,0.302295033,0.245448017,0.301915872,0.759767832,0.550259142,0.764545129,0.734787964,0.812117596,0.503207126,0.623486762,0.814480259,0.759942598,0.762196348,0.665865658,0.650425237,0.660486201,0.636666195,0.471752261,0.565663736,0.596699992,0.408490898,0.567708662,0.573993111,0.527128622,0.258967216,0.782195334,0.287354479,0.467038049,0.295170728,0.382283451,0.386528344,0.335237455,0.582741954,0.109585016,0.085311867,0.780838413,0.743679748,0.50884058,0.322037168,0.761499105,0.419986662,0.123417212,0.645687712,0.661414185,0.548868038,0.326580758,0.445129539,0.126660472,0.700102131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurt,0.820613256,0.879084354,0.579853293,0.384836268,0.760296661,0.301218532,0.244555217,0.300841357,0.759210353,0.549213401,0.76404449,0.734375162,0.811299426,0.502151473,0.623328203,0.813922454,0.759529279,0.761577879,0.665900603,0.649888831,0.66053494,0.636227779,0.471148129,0.565219462,0.596357449,0.407809334,0.566790359,0.573010302,0.526313353,0.258930472,0.782265271,0.287070549,0.466696799,0.294963934,0.382217457,0.386245886,0.335255685,0.58298216,0.109494768,0.085105961,0.7809333,0.742900323,0.508284842,0.321853646,0.761389079,0.420603714,0.123582246,0.645077226,0.660981354,0.54838479,0.325719249,0.445018016,0.126538298,0.700100233,0.999998077,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid attack,0.731794776,0.792959398,0.776798675,0.498765837,0.717094078,0.583529938,0.489858921,0.582253003,0.710126971,0.752398008,0.692212136,0.689496039,0.826576015,0.689952499,0.456696178,0.741122893,0.643858818,0.761188094,0.392296844,0.612183125,0.38347783,0.632110877,0.488394419,0.50468447,0.490420514,0.484468385,0.674291971,0.708088485,0.60797354,0.206362392,0.484820838,0.29066146,0.484133561,0.300206559,0.257736373,0.339010371,0.198357307,0.272288932,0.115371434,0.142520443,0.473563556,0.766129542,0.546198332,0.290212768,0.555561232,0.035796606,0.007550285,0.677612951,0.610633137,0.577788799,0.526922103,0.363779311,0.138113011,0.461484252,0.674819054,0.673400296,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attempt to Acid Attack,0.616585257,0.533159241,0.690742036,0.467554339,0.564451986,0.60117428,0.465036519,0.601203585,0.556152602,0.64827957,0.536574306,0.325009556,0.728977292,0.746823846,0.392518896,0.598813695,0.543990465,0.491508476,0.406406768,0.557430693,0.399164728,0.296730178,0.60399586,0.540933792,0.506414215,0.574277425,0.748172896,0.756725189,0.694507317,0.060726097,0.351185074,0.254961403,0.181527522,0.119550684,0.264246917,0.354968988,0.200759238,0.253255836,0.053120456,0.085269397,0.344699866,0.685704938,0.432364739,0.186385865,0.351873485,-0.001154887,0.035800413,0.447220744,0.424602244,0.316653256,0.506578229,0.152304441,0.07440484,0.32694837,0.413778636,0.412278315,0.758401819,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dowry Deaths,0.898281624,0.762284139,0.904984959,0.376473486,0.670695686,0.768167318,0.649700613,0.766322006,0.659765685,0.777738186,0.635723802,0.446505607,0.853070452,0.492837633,0.840227566,0.703964041,0.911652809,0.618376417,0.564594182,0.846230072,0.552761075,0.304099995,0.467806409,0.530766448,0.549190877,0.413889783,0.609004067,0.734426017,0.483805626,0.210043651,0.705230249,0.289975742,0.178518745,0.112764215,0.286091045,0.40822859,0.208918583,0.628840425,0.081706795,0.111961778,0.712793478,0.826405757,0.580312694,0.35983005,0.527832192,0.351481723,0.068645988,0.401612571,0.481235142,0.295132112,0.206851102,0.229149517,0.028747842,0.492742761,0.730286304,0.729623964,0.714247718,0.633510886,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault on Women with intent to outrage her Modesty,0.810440148,0.740784809,0.598075875,0.444441259,0.946278856,0.374553914,0.37823139,0.371569365,0.944933726,0.748870949,0.944811898,0.42626567,0.817299963,0.710683985,0.312395218,0.660328752,0.622094011,0.758402806,0.692458583,0.599439108,0.688763174,0.538613638,0.76127226,0.877355953,0.874570386,0.779247288,0.809165775,0.825872512,0.745993755,0.446402538,0.612941977,0.264654254,0.314957093,0.400062038,0.585377417,0.621949773,0.502729246,0.336902177,0.264668638,0.106373452,0.593831347,0.761130432,0.77055761,0.506065552,0.548287995,0.0173974,0.178632542,0.681770785,0.748535223,0.510679895,0.432214089,0.427731572,0.19854569,0.863036925,0.670685016,0.670031255,0.677048365,0.585167572,0.644300278,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual Harassment,0.794314782,0.648715448,0.737488913,0.379599246,0.837982841,0.580833163,0.491893727,0.579416269,0.831847056,0.761185557,0.822157961,0.297437732,0.790073024,0.66312474,0.427530806,0.586798737,0.669481491,0.623950655,0.656910186,0.740508066,0.649164635,0.365532152,0.775371803,0.820485788,0.826313869,0.704613157,0.776223219,0.831829632,0.68838728,0.243712652,0.567159617,0.245266628,0.182151255,0.277716171,0.580090078,0.752313223,0.450219882,0.345100228,0.182868511,0.074410945,0.553669641,0.803915028,0.615568042,0.368155972,0.468635128,0.028811953,0.034057768,0.57254162,0.681943484,0.397439568,0.350516032,0.351023816,0.13042666,0.708830633,0.632052962,0.631306757,0.676330491,0.634299922,0.724433175,0.897204602,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault or use of criminal force to women with intent to Disrobe,0.703287326,0.707799815,0.657517735,0.45642942,0.695822226,0.508301711,0.43516778,0.5069023,0.690211257,0.643262716,0.681073843,0.488817248,0.723291285,0.548469472,0.371184805,0.63155447,0.635298652,0.625315853,0.572740471,0.553716383,0.568255061,0.46204465,0.516429062,0.537115038,0.536159604,0.474908085,0.599754957,0.61935728,0.54796402,0.260404368,0.506439356,0.2210792,0.423104243,0.396374825,0.338632352,0.368692426,0.287680797,0.266505502,0.286161396,0.167620221,0.490235067,0.743063458,0.569620116,0.287676538,0.469986407,0.015505754,0.124171342,0.584062131,0.610168777,0.456895499,0.391263595,0.276880858,0.164438133,0.581812514,0.589830471,0.588894573,0.730906713,0.647280085,0.658346779,0.74988046,0.660382523,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Voyeurism,0.692871426,0.640798131,0.544128672,0.314096115,0.786047148,0.332569436,0.295923764,0.331273666,0.78450432,0.619544865,0.784608459,0.408571814,0.677695685,0.609320193,0.270154297,0.542839398,0.484387024,0.654191213,0.572489004,0.553766814,0.56799832,0.477538101,0.656991063,0.762327724,0.766419086,0.658454699,0.708558657,0.703785458,0.666592528,0.247428957,0.475242584,0.242615164,0.287836336,0.305171754,0.500684759,0.6202575,0.398848495,0.24327719,0.141469026,0.045823493,0.458630878,0.680898549,0.621717902,0.352496846,0.52558447,0.009068942,0.003506812,0.659961692,0.672391604,0.539088558,0.413717177,0.401614958,0.124227283,0.704867827,0.591616369,0.590923914,0.647267271,0.536869722,0.550468243,0.841645593,0.836634492,0.599433807,1,,,,,,,,,,,,,,,,,,,,,,,,,
Stalking,0.72175521,0.59629301,0.664515921,0.36145735,0.73529872,0.506621126,0.416206153,0.505820917,0.729975096,0.684334571,0.719934075,0.300870394,0.72902974,0.714239687,0.347191469,0.547677883,0.531102184,0.579433944,0.591371594,0.659487691,0.584575,0.337204602,0.778313319,0.805030001,0.795619907,0.734615793,0.842386786,0.84026128,0.790052057,0.174705192,0.473700253,0.264591489,0.197677353,0.214079663,0.493053242,0.679927451,0.368385081,0.269448577,0.089613387,0.055038294,0.461790865,0.765114158,0.623664801,0.334115144,0.484137007,0.000225151,0.006027182,0.614101845,0.643642067,0.464484454,0.484351766,0.265947464,0.043578429,0.638822366,0.503997111,0.503008931,0.669517444,0.707888183,0.637441918,0.826841487,0.887145092,0.643880914,0.858250624,1,,,,,,,,,,,,,,,,,,,,,,,,
Other Assault on Women,0.708534049,0.689404826,0.397748328,0.414849352,0.911776992,0.154859717,0.235221899,0.15095054,0.914569991,0.638364827,0.922577469,0.431869313,0.718811857,0.641091109,0.179414649,0.608026589,0.498320851,0.748233044,0.62571018,0.415064728,0.625494394,0.581930193,0.658941727,0.821624495,0.814808263,0.741784024,0.717823021,0.711591507,0.676268741,0.550817933,0.568797772,0.236967187,0.334188533,0.425656362,0.538164057,0.471848113,0.497436046,0.294584673,0.28576517,0.103920342,0.548406031,0.608061066,0.777458409,0.555058951,0.519159673,0.010394819,0.263080896,0.649834299,0.692468206,0.500396441,0.404162151,0.441337674,0.228725934,0.875696326,0.610796655,0.610395524,0.552786342,0.431298222,0.486688279,0.948266884,0.721844316,0.647159881,0.731533689,0.655452639,1,,,,,,,,,,,,,,,,,,,,,,,
Insult to the Modesty of Women,0.391427537,0.372383832,0.158215129,0.259289968,0.457709595,-0.003891489,-0.004802958,-0.003830849,0.460731739,0.213138821,0.474959642,0.208966802,0.35543101,0.496193834,0.028198246,0.290578316,0.126426486,0.31290143,0.421767515,0.236043337,0.42270116,0.241838587,0.557852818,0.618696333,0.595356574,0.610657505,0.604094713,0.468367293,0.658912465,0.119449771,0.295550353,0.151448921,0.152242133,0.280093604,0.36769307,0.44836036,0.29542683,0.101811683,0.105131087,0.050614357,0.279745973,0.403576625,0.456491003,0.207055691,0.469361627,0.015799395,0.010602248,0.583467726,0.510111685,0.507507442,0.480519829,0.219337877,0.064221052,0.573255688,0.268207925,0.267768541,0.312380615,0.382923658,0.195783427,0.590093763,0.501487808,0.39826528,0.661630718,0.707759905,0.552628909,1,,,,,,,,,,,,,,,,,,,,,,
At Office premises,0.36239325,0.375968109,0.150879223,0.455396577,0.484261598,-0.010516403,-0.012583222,-0.010365979,0.487586058,0.23214714,0.502024253,0.183430745,0.391928465,0.594559011,0.007018299,0.33837234,0.120612616,0.305748598,0.523527537,0.22539075,0.526354405,0.331590553,0.689955357,0.626248186,0.605154481,0.610871328,0.649539957,0.504462279,0.707889559,0.14898088,0.363735711,0.158075986,0.24959169,0.394290032,0.41299883,0.394553465,0.370297324,0.119154275,0.324690772,0.104715688,0.3417843,0.369763961,0.453475922,0.220529303,0.397371198,-0.004941453,0.052556366,0.507773913,0.490778934,0.356900003,0.542785867,0.167338599,0.189234878,0.543890442,0.296308226,0.295815133,0.353545605,0.4074213,0.175556939,0.588619062,0.4801546,0.509104288,0.534188346,0.575551824,0.563393142,0.630116221,1,,,,,,,,,,,,,,,,,,,,,
Other places related to work,0.295944064,0.286952664,0.079031786,0.054106935,0.221371918,-0.001140501,-0.003344161,-0.00105702,0.222818863,0.082780271,0.231607702,0.051537735,0.177264052,0.19554094,0.004270802,0.115599736,0.10964914,0.155539734,0.221930977,0.098947983,0.223045401,0.102481826,0.311047884,0.380006097,0.348261687,0.424868195,0.290224355,0.231234275,0.312282142,0.083720809,0.19145054,0.172757018,0.033730473,0.109362606,0.365334397,0.292000951,0.347674297,0.037660989,0.047127632,0.407142484,0.179000638,0.19311877,0.283386381,0.113147494,0.379221488,0.000102613,0.010549334,0.481056672,0.3705713,0.496848023,0.288179459,0.119771756,0.008860357,0.423868523,0.126394933,0.12617198,0.16388592,0.150747524,0.101432469,0.284734605,0.232417721,0.166424156,0.300067041,0.30439388,0.281063953,0.466278516,0.301124752,1,,,,,,,,,,,,,,,,,,,,
In Public Transport system,0.19062402,0.201326802,0.098447061,0.157558779,0.202591404,0.027507592,0.02771288,0.027290602,0.203348957,0.101640333,0.20891711,0.152413946,0.14756276,0.165727964,0.027571479,0.132332857,0.069578534,0.160914544,0.129219697,0.096842738,0.12890065,0.108003942,0.157784592,0.24662002,0.240892188,0.233187176,0.23492971,0.184070957,0.254923431,0.065565804,0.140193187,0.05104959,0.072173735,0.254545065,0.086218722,0.157522298,0.050792913,0.023090638,0.119466705,-0.001422273,0.129978624,0.243596519,0.238216641,0.094512363,0.274359586,0.006226702,-0.000872669,0.343378128,0.267107591,0.348446944,0.198430855,0.115427485,0.083833365,0.272257289,0.104147069,0.103798246,0.176096866,0.254320748,0.111499847,0.302329324,0.238003617,0.237713028,0.391069764,0.374846546,0.286310166,0.643869251,0.249723654,0.415410489,1,,,,,,,,,,,,,,,,,,,
"Places other than 231, 232 & 233",0.383199114,0.363491509,0.157229348,0.26180464,0.457054746,-0.004603375,-0.005395964,-0.004541334,0.460086805,0.214058476,0.474180302,0.210980477,0.354676392,0.499501484,0.028604154,0.291648889,0.122553588,0.311774516,0.420785389,0.237125492,0.421676598,0.242018339,0.555642099,0.61290796,0.590921366,0.601698166,0.604085964,0.467866782,0.659242667,0.116985169,0.291130413,0.14456026,0.154182842,0.277775945,0.355537352,0.4438724,0.282014581,0.102946648,0.102131042,0.023599067,0.275801038,0.401941756,0.450703485,0.205756879,0.456895264,0.016468389,0.01007389,0.56714193,0.499893526,0.487070998,0.475994655,0.218019191,0.063600424,0.561966995,0.268332392,0.267898282,0.309964842,0.3827627,0.194625122,0.588530475,0.501422932,0.397518225,0.660782259,0.709054797,0.549987394,0.997661725,0.628062573,0.406749285,0.621040603,1,,,,,,,,,,,,,,,,,,
Cruelty by Husband or his Relatives,0.748711479,0.839350025,0.551875339,0.442212334,0.834735185,0.276461162,0.350951258,0.27182279,0.834619158,0.687753901,0.832038613,0.821027312,0.787767598,0.542735177,0.350210893,0.789372944,0.644554439,0.867219988,0.522005924,0.50155604,0.517994599,0.731117144,0.458742582,0.584183831,0.576525022,0.535461426,0.636577617,0.644561839,0.590429748,0.625234982,0.585406466,0.324505245,0.571053877,0.433421981,0.301927374,0.359464039,0.24565656,0.323223774,0.189198739,0.082742332,0.569283879,0.770660229,0.803323272,0.610020405,0.699729887,0.090163241,0.167813093,0.818511434,0.804011272,0.706901114,0.466729391,0.406330937,0.192509383,0.731177778,0.750974602,0.750411454,0.733395906,0.464759381,0.573802283,0.769430366,0.607173404,0.672394914,0.652525202,0.589327948,0.76795679,0.426834321,0.383981168,0.195941994,0.25549012,0.425792223,1,,,,,,,,,,,,,,,,,
Importation of Girls from Foreign Country,0.412906076,0.52674755,0.218143868,0.238703019,0.294267629,-0.004309014,-0.007346829,-0.004173037,0.29624647,0.13920507,0.305191976,0.62205805,0.374924523,0.174014406,0.517025033,0.552509733,0.358994832,0.389439385,0.374667667,0.326172451,0.372622929,0.468555836,0.157784038,0.150138891,0.175507711,0.059417242,0.24171508,0.181334392,0.267827721,0.156313615,0.541028211,0.268627298,0.361995312,0.193923278,0.102961037,0.083555122,0.097538971,0.399938224,0.021474423,-0.006824142,0.544061226,0.376501133,0.253562728,0.182961668,0.751200672,0.713144091,0.044072889,0.409494882,0.376718668,0.383588353,0.212085764,0.200969727,0.039154701,0.311612048,0.620704223,0.62095914,0.327409344,0.147190223,0.35927069,0.203006719,0.15014462,0.223039811,0.221556204,0.140937086,0.202184105,0.128699788,0.139514212,0.019597055,0.069395122,0.131225231,0.44681327,1,,,,,,,,,,,,,,,,
Causing Death by Negligence,0.881548331,0.77528312,0.628306038,0.309848283,0.793776055,0.422389773,0.419568954,0.419260488,0.790500355,0.676622032,0.785685272,0.372411107,0.754662115,0.537051634,0.418343602,0.622048689,0.674517177,0.684687968,0.691902915,0.627027439,0.687517917,0.452308476,0.680319227,0.821342303,0.79066153,0.809801934,0.722655164,0.782221714,0.635515184,0.435505267,0.670964422,0.379985634,0.206541239,0.270993233,0.644266203,0.648996425,0.565834102,0.445153106,0.175623465,0.375878694,0.655884794,0.745157281,0.791675206,0.511280344,0.620446804,0.102704906,0.158205032,0.708390806,0.780680941,0.554945387,0.402382561,0.267815673,0.158064175,0.841473307,0.6105769,0.609974089,0.622443842,0.524889938,0.675306774,0.837299691,0.759058892,0.611875549,0.711952935,0.720798837,0.78837761,0.505822337,0.441246804,0.499643088,0.265833869,0.486560953,0.701918149,0.201812096,1,,,,,,,,,,,,,,,
Deaths due to negligent driving/act,0.869602232,0.759816815,0.629579866,0.30186302,0.771914359,0.433028612,0.430305848,0.42981477,0.768286859,0.673753705,0.762089479,0.35006362,0.734796269,0.521695437,0.41826837,0.593987578,0.658481056,0.664035479,0.67665685,0.623624588,0.672111539,0.4304212,0.669150986,0.805605426,0.772106863,0.804028192,0.708208809,0.773848584,0.617812296,0.430488237,0.655854575,0.378418,0.192568694,0.265448139,0.640409836,0.649193867,0.5610072,0.440836971,0.177541843,0.386154035,0.640427688,0.727157387,0.787680002,0.511487999,0.605672936,0.097961494,0.132806805,0.693354472,0.763089841,0.544438145,0.393069576,0.250103004,0.15767765,0.817061792,0.583416903,0.58278796,0.614121185,0.52268661,0.671369716,0.821079037,0.749872551,0.60234363,0.701854115,0.715505537,0.768451546,0.500176499,0.432965749,0.504637785,0.265580096,0.480334666,0.679663076,0.182381898,0.998089341,1,,,,,,,,,,,,,,
Deaths due to Other Causes,0.578037452,0.578265108,0.274036178,0.256533262,0.676991947,0.046357269,0.043664438,0.046094697,0.680427706,0.354866762,0.697671272,0.48802009,0.630686477,0.466001491,0.195474475,0.684556929,0.539467427,0.609254309,0.536412426,0.339352235,0.536633968,0.518664371,0.473558862,0.603483184,0.628937319,0.457705777,0.539433096,0.481522772,0.544832663,0.273096591,0.524762034,0.198681621,0.292905115,0.204086156,0.35375507,0.298821421,0.330983943,0.267702186,0.054579943,0.029865371,0.522648231,0.599971773,0.424216223,0.234677551,0.496550221,0.114580155,0.431468705,0.541118924,0.610719175,0.405978939,0.318248246,0.374091821,0.078903622,0.735093575,0.66652596,0.666614111,0.406558856,0.274981161,0.369317569,0.617717017,0.482219354,0.418690133,0.473188014,0.409572862,0.647203541,0.314636629,0.321765979,0.1618038,0.127115825,0.313865893,0.63984741,0.367624199,0.491651397,0.436908144,1,,,,,,,,,,,,,
Offences against State,0.290072988,0.237696776,0.090151274,0.123705827,0.241695157,-0.009858757,-0.011013122,-0.009744315,0.243445887,0.052397975,0.256624525,0.242231342,0.272672273,0.043719947,0.178351903,0.461533913,0.381487221,0.220047271,0.323796209,0.168990664,0.324814551,0.098045322,0.099918748,0.178079955,0.206178473,0.076171613,0.137001824,0.096740329,0.155957305,0.140136353,0.310627136,0.16052534,0.080266604,0.110594396,0.051214175,0.008089232,0.060324775,0.178817892,0.089251125,0.001487738,0.313595561,0.343518848,0.150973691,0.080979878,0.230870657,0.165478818,0.327586569,0.165607509,0.269126249,0.078990847,0.057864431,0.044851316,0.051710849,0.347386035,0.345751127,0.346152339,0.069701329,0.037772102,0.185294289,0.163297345,0.081844339,0.226941861,0.042957416,0.024810243,0.190645753,0.045418555,0.055416624,0.012235368,0.02212143,0.04594971,0.286001596,0.270168647,0.11718084,0.082624783,0.541468649,1,,,,,,,,,,,,
Sedition,0.309679712,0.257184382,0.103745506,0.214354118,0.154034915,-0.006357801,-0.007081537,-0.006284701,0.155152158,0.05435858,0.161580514,0.223953185,0.198205691,0.043524894,0.347324862,0.294205923,0.260072032,0.139673831,0.326483941,0.27919473,0.324826286,0.0777385,0.084481783,0.115963299,0.130558024,0.06019362,0.11913474,0.098499847,0.125725766,0.060288365,0.416059668,0.363135629,0.050789343,0.151763307,0.068555884,0.007176776,0.082039559,0.352124431,0.15523501,0.002880294,0.413660751,0.202215479,0.14199723,0.132666584,0.259679257,0.330643028,0.008052572,0.07747427,0.099852381,0.049876883,0.02873687,0.031428922,0.092747716,0.183165686,0.305447565,0.305730061,0.081435294,0.083530147,0.279709041,0.075114127,0.052295554,0.105411327,0.037371356,0.016597277,0.078216534,0.041356111,0.055015729,0.006306833,0.036586607,0.041757588,0.141297789,0.366375008,0.117252628,0.111711784,0.132579341,0.468315852,1,,,,,,,,,,,
