,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnapping & Abduction,Kidnapping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Other Kidnapping,Dacoity,Dacoity with Murder,Other Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Criminal Trespass or Burglary,House Trespass & House Breaking,Theft,Auto Theft,Other Thefts,Unlawful Assembly,Riots,Riots_Communal,Riots_Industrial,Riots_Political,Riots_Caste Conflict,Riots_SC/STs Vs Non-SCs/STs,Riots_Other Caste Conflict,Riots_Agrarian,Riots_Students,Riots_Sectarian,Riots_Others,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Counterfeit Offences related to Counterfeit Coin,Counterfeiting Government Stamp,Counterfeit currency & Bank notes,Counterfeiting currency notes/Bank notes,Using forged or counterfeiting currency/Bank notes,Possession of forged or counterfeiting currency/Bank notes,Making or Possessing materials for forged currency/Bank notes,Making or Using documents resembling currency,Arson,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Assault or use of criminal force to women with intent to Disrobe,Voyeurism,Stalking,Other Assault on Women,Insult to the Modesty of Women,At Office premises,Other places related to work,In Public Transport system,"Places other than 231, 232 & 233",Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Deaths due to negligent driving/act,Deaths due to Other Causes,Offences against State,Sedition,Other offences against State,Offences promoting enmity between different groups,Promoting enmity between different groups,"Imputation, assertions prejudicial to national integration",Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total Cognizable IPC crimes
Kidnapping for Ransom,0.81105944,0.842719382,0.648451627,0.437391998,0.729793776,0.399237926,0.346763616,0.397970222,0.726565892,0.605875579,0.723646303,0.733836278,0.836295071,0.593034015,0.533410103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping & Abduction of Women to compel her for marriage,0.884078582,0.735097446,0.810906742,0.323571032,0.695153752,0.670657907,0.595887853,0.668074403,0.686316314,0.734843996,0.668280829,0.453866212,0.864815781,0.415338109,0.771843468,0.742764944,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Kidnapping,0.757213877,0.812677212,0.542934605,0.34038319,0.861330996,0.275939951,0.319855044,0.272343012,0.861396432,0.76946995,0.853126072,0.741458861,0.826131241,0.567528229,0.344209747,0.748982339,0.633409768,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dacoity,0.76968856,0.643616305,0.412958221,0.236784284,0.647877538,0.20071535,0.170866121,0.20019569,0.648062539,0.409486157,0.657765167,0.298987052,0.62023927,0.41640429,0.44991777,0.631003041,0.601237855,0.493076531,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dacoity with Murder,0.820835523,0.677390261,0.816277725,0.328880055,0.598019885,0.680128206,0.562604431,0.678923088,0.588369535,0.664636482,0.56964955,0.385842319,0.722753948,0.434636291,0.734253058,0.634920481,0.768107729,0.498829798,0.656394188,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Dacoity,0.761768021,0.637215062,0.399434625,0.232463583,0.643502871,0.187150424,0.159722612,0.186652171,0.643928939,0.39964837,0.654248899,0.294257532,0.612344226,0.41235213,0.439010129,0.625447565,0.59191936,0.488668965,0.99982675,0.642237936,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Making Preparation and Assembly for committing Dacoity,0.485731209,0.738892543,0.32856599,0.297036072,0.562344183,0.049912557,0.058638732,0.049235376,0.564971737,0.360370881,0.573112013,0.808382972,0.491332285,0.402596574,0.12353351,0.669076649,0.270008537,0.696281758,0.390852941,0.295303114,0.389829161,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbery,0.647112857,0.523831057,0.434654701,0.412773986,0.683989855,0.273481687,0.248799597,0.272231118,0.682963061,0.515503528,0.685295695,0.169820796,0.662039948,0.752531903,0.285175193,0.534879502,0.443324048,0.432236205,0.772643896,0.582154563,0.770659672,0.330783795,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criminal Trespass/Burglary,0.753097122,0.584637293,0.417440655,0.373193673,0.842614651,0.211625895,0.229880841,0.209390688,0.843836061,0.616644506,0.848625048,0.201447411,0.749079452,0.719314114,0.29040398,0.557427717,0.549754729,0.622675177,0.766070154,0.550152634,0.764770188,0.32889661,0.883360352,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criminal Trespass or Burglary,0.754693584,0.586441829,0.415991599,0.357371516,0.845002922,0.209226278,0.222484438,0.207178941,0.846287321,0.616260412,0.851294701,0.211537211,0.747981145,0.688497203,0.317421758,0.557080912,0.5671766,0.631717797,0.77564441,0.567202464,0.774077172,0.330556093,0.867011917,0.989381066,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Trespass & House Breaking,0.65747694,0.508789583,0.371114999,0.37333285,0.733906314,0.192903464,0.223244904,0.190401093,0.734799862,0.543187669,0.73838511,0.148228866,0.66165358,0.720498923,0.178006595,0.491023832,0.43345016,0.521523502,0.646060495,0.434864199,0.645682249,0.284384226,0.823323142,0.909470854,0.839383579,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
